Nombre_d_eleves,Type_etablissement,Code_departement,latitude,longitude
415.0,Lycée,28,48.44041113578513,1.4636397241383805
334.0,Lycée,52,48.10600946041218,5.147410235889229
448.0,Lycée,38,45.293132773369074,5.633340236918928
248.0,Lycée,37,47.585398341973324,0.9084505783461634
854.0,Lycée,91,48.609175879720574,2.4825994030554965
1090.0,Lycée,17,45.73700107131033,-0.6434894944373473
121.0,Lycée,17,46.17759397738521,-1.151010483018266
1346.0,Lycée,92,48.928048759132274,2.2422398791663958
442.0,Lycée,38,45.195952599849605,5.66548031339718
493.0,Lycée,59,50.161152856652606,3.2646595829163867
1035.0,Lycée,18,47.228870081060435,2.068399495654234
207.0,Lycée,94,48.81352665430286,2.3455403471697047
456.0,Lycée,88,48.169410144073545,6.452309956350911
856.0,Lycée,71,46.620849610140326,5.2137698689646585
413.0,Lycée,94,48.79227481375514,2.3291506549534877
404.0,Lycée,59,50.34403474782784,3.5551897094746434
607.0,Lycée,84,43.832183881102935,5.027610188768376
583.0,Lycée,58,46.829354646883594,3.4450495618892996
858.0,Lycée,93,48.888725267424746,2.4670299399184783
476.0,Lycée,07,44.374186477850074,4.644930459985576
424.0,Lycée,26,45.04893317075279,5.045119772191624
496.0,Lycée,77,48.406069289724435,2.703280262664044
196.0,Lycée,81,43.607787262862864,2.2354399491110017
257.0,Lycée,59,50.690388608122205,3.1213101956118496
389.0,Lycée,13,43.28583110779726,5.438931849150504
640.0,Lycée,50,49.11988786490463,-1.1062333769957016
200.0,Lycée,93,48.94606859266373,2.49550050993
1123.0,Lycée,87,45.82359015525233,1.2420191102238658
472.0,Lycée,92,48.88533686470046,2.2811104049749376
217.0,Lycée,56,48.060351626628254,-3.4111897266495586
862.0,Lycée,83,43.12238086986471,5.9527594668047765
319.0,Lycée,44,47.21502666881943,-1.7242395452168269
1436.0,Lycée,91,48.58071944518837,2.2443899821594417
328.0,Lycée,49,47.48423266777767,-0.5237099005092385
999.0,Lycée,18,47.10050314893511,2.4137697241098746
68.0,Lycée,67,48.8113991264835,7.789990268686853
1225.0,Lycée,62,50.95239038150301,1.8800993924364584
566.0,Lycée,44,46.99374220194108,-1.8235502189487176
1014.0,Lycée,60,49.4233836161901,2.0837003907692133
655.0,Lycée,92,48.832505401309966,2.233089903514006
550.0,Lycée,75,48.856982818019645,2.3196601050484498
812.0,Lycée,94,48.85001278835158,2.4316865024457983
385.0,Lycée,06,43.706712101118256,7.271970385719137
978.0,Lycée,92,48.81932703014,2.2534695453663587
1522.0,Lycée,78,48.914250306349174,2.1703793552547452
1613.0,Lycée,87,45.8305757466427,1.2627765458366689
473.0,Lycée,88,48.16268471951558,6.449819802984905
315.0,Lycée,03,46.134510066225005,3.457950365917865
1009.0,Lycée,01,46.250250933893206,5.63344976758392
1064.0,Lycée,57,48.738861622516104,7.0601502151582345
273.0,Lycée,54,48.7671680865522,6.120590627975306
145.0,Lycée,42,45.398006347942314,4.327469882286314
776.0,Lycée,95,48.92160791319522,2.2154104352061643
839.0,Lycée,84,43.951014463341245,4.804789658649243
257.0,Lycée,75,48.82531943751794,2.3751503835286694
736.0,Lycée,56,47.659083929165675,-2.782800648658756
373.0,Lycée,64,43.22770091489774,-0.8737036620070278
361.0,Lycée,59,50.622262898912886,3.0573901909225523
950.0,Lycée,94,48.8472375999995,2.4906400786661367
205.0,Lycée,35,47.94340384722194,-1.2322301881972062
1066.0,Lycée,53,48.07208407024492,-0.7615497709354053
309.0,Lycée,55,49.16052574504527,5.381229350508856
375.0,Lycée,46,44.85794344832042,1.8923295176570007
674.0,Lycée,91,48.695893349113256,2.378999318844293
240.0,Lycée,02,49.86378067801874,3.3043004997691803
256.0,Lycée,80,50.26904521798147,1.6746200145843069
700.0,Lycée,30,43.832815594912155,4.368860248460036
891.0,Lycée,91,48.70984792370607,2.325999697159009
1017.0,Lycée,95,48.95218029044243,2.233310469681179
199.0,Lycée,57,49.35776446276269,6.049169788456443
89.0,Lycée,54,48.68997939462561,6.188259588085841
